0.206,31.909
0.449,41.026
0.71,59.259
0.785,77.493
1.01,91.168
1.197,113.96
1.496,136.752
1.645,168.661
1.832,196.011
2.019,223.362
2.244,246.154
2.318,282.621
2.543,296.296
2.655,332.764
2.842,364.672
2.991,401.14
3.141,419.373
3.365,442.165
3.478,474.074
3.59,496.866
3.739,528.775
3.964,565.242
4.188,606.268
4.263,624.501
4.45,656.41
4.674,679.202
4.861,706.553
5.048,733.903
5.235,761.254
5.385,788.604
5.534,806.838
5.646,829.63
5.871,852.422
5.983,875.214
6.207,898.006
6.394,916.239
6.506,929.915
6.693,952.707
6.843,989.174
6.993,1002.849
7.217,1021.083
7.441,1030.199
7.516,1048.433
7.628,1080.342
7.89,1094.017
8.04,1107.692
8.189,1130.484
8.376,1144.16
8.526,1153.276
8.825,1176.068
8.9,1194.302
9.012,1217.094
9.274,1226.211
9.46,1244.444
9.647,1253.561
9.909,1276.353
10.059,1294.587
10.283,1308.262
10.545,1317.379
10.807,1335.613
10.994,1349.288
11.368,1367.521
11.517,1390.313
11.816,1408.547
12.115,1422.222
12.377,1435.897
12.714,1449.573
12.901,1463.248
13.312,1476.923
13.611,1486.04
13.91,1495.157
14.172,1499.715
14.359,1504.274
14.621,1508.832
14.882,1513.39
15.107,1517.949
15.294,1522.507
15.556,1522.507
15.817,1522.507
16.116,1527.066
16.416,1531.624
16.603,1536.182
16.92,1540.741
