1.116,6.122
4.464,17.425
7.143,29.199
8.929,41.915
11.607,55.102
13.393,65.463
16.518,76.766
17.857,88.54
21.429,101.727
23.214,111.617
25.446,122.449
28.125,133.281
31.696,145.526
33.929,156.358
37.5,165.777
39.286,175.196
42.857,186.028
45.089,196.389
49.554,206.279
51.786,215.699
55.357,224.176
58.482,233.124
62.054,242.543
65.625,249.137
68.304,255.73
71.429,261.381
75.893,267.975
81.25,273.626
85.268,279.749
91.071,281.633
98.214,284.458
104.911,282.104
109.821,278.807
113.839,274.568
115.402,5.651
